X Err_m1 Err_m2 Err_m3 Err_m4 Err_m5 Err_m6 Err_m7 Err_m8 Err_m9 Err_m10
8.484140 0.047894 0.012263 0.025986 0.013367 0.028959 0.003480 0.005517 0.019391 0.001230 0.001237
8.500835 0.049450 0.014286 0.022513 0.012929 0.029903 0.003640 0.005401 0.019014 0.001192 0.001195
8.517529 0.050981 0.016283 0.019081 0.012470 0.030770 0.003791 0.005269 0.018586 0.001151 0.001151
8.534224 0.052487 0.018252 0.015690 0.011990 0.031564 0.003933 0.005125 0.018112 0.001107 0.001103
8.550918 0.053968 0.020195 0.012341 0.011492 0.032286 0.004066 0.004967 0.017594 0.001061 0.001052
8.567613 0.055423 0.022109 0.009034 0.010974 0.032937 0.004190 0.004799 0.017036 0.001011 0.000999
8.584307 0.056851 0.023996 0.005770 0.010440 0.033520 0.004306 0.004619 0.016442 0.000960 0.000944
8.601002 0.058252 0.025853 0.002548 0.009888 0.034037 0.004413 0.004431 0.015814 0.000907 0.000887
8.617696 0.059626 0.027683 0.000630 0.009321 0.034488 0.004511 0.004234 0.015157 0.000851 0.000828
8.634391 0.060973 0.029482 0.003765 0.008739 0.034877 0.004600 0.004029 0.014472 0.000795 0.000768
8.651085 0.062292 0.031253 0.006857 0.008143 0.035204 0.004680 0.003817 0.013763 0.000736 0.000707
8.667780 0.063583 0.032993 0.009904 0.007533 0.035471 0.004752 0.003599 0.013033 0.000677 0.000645
8.684474 0.064845 0.034703 0.012908 0.006911 0.035680 0.004815 0.003376 0.012283 0.000617 0.000581
8.701169 0.066078 0.036383 0.015866 0.006278 0.035832 0.004869 0.003148 0.011518 0.000556 0.000518
8.717863 0.067282 0.038031 0.018780 0.005634 0.035930 0.004915 0.002917 0.010739 0.000495 0.000453
8.734558 0.068457 0.039648 0.021649 0.004980 0.035975 0.004953 0.002682 0.009948 0.000434 0.000389
8.751252 0.069602 0.041234 0.024473 0.004316 0.035968 0.004982 0.002446 0.009149 0.000372 0.000325
8.767947 0.070717 0.042788 0.027250 0.003645 0.035911 0.005003 0.002207 0.008342 0.000310 0.000261
8.784641 0.071801 0.044310 0.029983 0.002966 0.035806 0.005016 0.001967 0.007531 0.000248 0.000197
8.801336 0.072855 0.045800 0.032669 0.002279 0.035654 0.005020 0.001727 0.006716 0.000187 0.000133
8.818030 0.073877 0.047256 0.035309 0.001587 0.035456 0.005017 0.001486 0.005901 0.000126 0.000071
8.834725 0.074869 0.048680 0.037902 0.000890 0.035215 0.005006 0.001246 0.005086 0.000066 0.000009
8.851419 0.075829 0.050071 0.040449 0.000187 0.034932 0.004988 0.001008 0.004274 0.000006 0.000053
8.868114 0.076757 0.051428 0.042949 0.000519 0.034607 0.004962 0.000770 0.003466 0.000052 0.000113
8.884808 0.077654 0.052752 0.045402 0.001228 0.034244 0.004928 0.000535 0.002664 0.000110 0.000172
8.901503 0.078518 0.054041 0.047807 0.001940 0.033842 0.004887 0.000302 0.001869 0.000167 0.000230
8.918197 0.079350 0.055297 0.050166 0.002654 0.033404 0.004840 0.000072 0.001083 0.000223 0.000286
8.934891 0.080149 0.056518 0.052476 0.003369 0.032931 0.004785 0.000155 0.000306 0.000277 0.000341
8.951586 0.080916 0.057705 0.054740 0.004084 0.032424 0.004723 0.000379 0.000459 0.000330 0.000395
8.968280 0.081649 0.058857 0.056955 0.004799 0.031885 0.004655 0.000598 0.001212 0.000381 0.000447
8.984975 0.082349 0.059974 0.059122 0.005514 0.031315 0.004581 0.000814 0.001952 0.000432 0.000497
9.001669 0.083016 0.061056 0.061242 0.006227 0.030715 0.004500 0.001024 0.002677 0.000480 0.000546
9.018364 0.083650 0.062102 0.063313 0.006938 0.030087 0.004413 0.001230 0.003386 0.000527 0.000593
9.035058 0.084250 0.063114 0.065336 0.007646 0.029432 0.004320 0.001431 0.004079 0.000572 0.000638
9.051753 0.084815 0.064090 0.067310 0.008351 0.028752 0.004221 0.001626 0.004756 0.000616 0.000681
9.068447 0.085348 0.065030 0.069236 0.009053 0.028046 0.004117 0.001816 0.005414 0.000657 0.000722
9.085142 0.085845 0.065934 0.071114 0.009750 0.027318 0.004007 0.002000 0.006053 0.000697 0.000761
9.101836 0.086309 0.066803 0.072943 0.010442 0.026567 0.003892 0.002178 0.006673 0.000735 0.000798
9.118531 0.086739 0.067635 0.074724 0.011128 0.025796 0.003773 0.002350 0.007273 0.000771 0.000833
9.135225 0.087134 0.068431 0.076455 0.011809 0.025005 0.003648 0.002515 0.007852 0.000805 0.000866
9.151920 0.087494 0.069191 0.078139 0.012483 0.024196 0.003519 0.002674 0.008411 0.000837 0.000897
9.168614 0.087821 0.069915 0.079773 0.013150 0.023369 0.003385 0.002827 0.008947 0.000867 0.000926
9.185309 0.088112 0.070603 0.081359 0.013809 0.022526 0.003248 0.002972 0.009462 0.000895 0.000952
9.202003 0.088369 0.071254 0.082895 0.014460 0.021668 0.003106 0.003111 0.009955 0.000921 0.000976
9.218698 0.088591 0.071868 0.084384 0.015103 0.020796 0.002960 0.003243 0.010425 0.000945 0.000999
9.235392 0.088778 0.072446 0.085823 0.015737 0.019911 0.002811 0.003368 0.010872 0.000967 0.001019
9.252087 0.088930 0.072988 0.087214 0.016361 0.019014 0.002658 0.003486 0.011296 0.000986 0.001037
9.268781 0.089048 0.073493 0.088556 0.016975 0.018106 0.002503 0.003596 0.011696 0.001004 0.001052
9.285476 0.089131 0.073961 0.089849 0.017580 0.017189 0.002344 0.003700 0.012073 0.001020 0.001066
9.302170 0.089179 0.074393 0.091094 0.018173 0.016262 0.002182 0.003796 0.012427 0.001034 0.001078
9.318865 0.089192 0.074788 0.092290 0.018755 0.015328 0.002018 0.003885 0.012757 0.001045 0.001087
9.335559 0.089170 0.075147 0.093438 0.019326 0.014387 0.001851 0.003967 0.013063 0.001055 0.001094
9.352254 0.089114 0.075469 0.094538 0.019885 0.013440 0.001683 0.004042 0.013346 0.001062 0.001099
9.368948 0.089022 0.075755 0.095589 0.020431 0.012488 0.001512 0.004109 0.013605 0.001068 0.001103
9.385643 0.088896 0.076004 0.096592 0.020965 0.011532 0.001339 0.004170 0.013840 0.001072 0.001104
9.402337 0.088736 0.076217 0.097547 0.021486 0.010573 0.001165 0.004223 0.014052 0.001074 0.001103
9.419032 0.088541 0.076394 0.098454 0.021994 0.009611 0.000990 0.004269 0.014241 0.001073 0.001100
9.435726 0.088311 0.076534 0.099314 0.022488 0.008648 0.000813 0.004309 0.014406 0.001071 0.001095
9.452421 0.088047 0.076639 0.100125 0.022968 0.007685 0.000635 0.004341 0.014549 0.001068 0.001089
9.469115 0.087749 0.076707 0.100890 0.023433 0.006721 0.000457 0.004366 0.014668 0.001062 0.001080
9.485810 0.087416 0.076739 0.101607 0.023884 0.005758 0.000278 0.004385 0.014765 0.001054 0.001070
9.502504 0.087050 0.076736 0.102276 0.024321 0.004798 0.000098 0.004397 0.014840 0.001045 0.001058
9.519199 0.086649 0.076697 0.102899 0.024742 0.003839 0.000081 0.004402 0.014893 0.001034 0.001044
9.535893 0.086214 0.076622 0.103475 0.025148 0.002884 0.000261 0.004401 0.014924 0.001022 0.001029
9.552588 0.085746 0.076512 0.104004 0.025538 0.001933 0.000441 0.004393 0.014934 0.001008 0.001011
9.569282 0.085245 0.076366 0.104487 0.025913 0.000986 0.000620 0.004379 0.014922 0.000992 0.000993
9.585977 0.084710 0.076186 0.104923 0.026271 0.000045 0.000799 0.004359 0.014890 0.000975 0.000973
9.602671 0.084141 0.075970 0.105314 0.026614 0.000890 0.000977 0.004333 0.014838 0.000956 0.000951
9.619366 0.083540 0.075720 0.105659 0.026939 0.001818 0.001154 0.004301 0.014765 0.000936 0.000928
9.636060 0.082906 0.075435 0.105958 0.027249 0.002739 0.001330 0.004263 0.014673 0.000914 0.000903
9.652755 0.082239 0.075116 0.106212 0.027541 0.003652 0.001505 0.004219 0.014563 0.000892 0.000878
9.669449 0.081540 0.074763 0.106422 0.027816 0.004557 0.001679 0.004170 0.014433 0.000868 0.000851
9.686144 0.080808 0.074375 0.106586 0.028075 0.005452 0.001851 0.004116 0.014285 0.000842 0.000823
9.702838 0.080045 0.073954 0.106706 0.028316 0.006337 0.002021 0.004056 0.014120 0.000816 0.000793
9.719533 0.079250 0.073500 0.106782 0.028540 0.007213 0.002190 0.003991 0.013937 0.000788 0.000763
9.736227 0.078423 0.073012 0.106814 0.028746 0.008077 0.002356 0.003921 0.013737 0.000759 0.000731
9.752922 0.077565 0.072491 0.106803 0.028934 0.008930 0.002520 0.003847 0.013521 0.000730 0.000699
9.769616 0.076676 0.071938 0.106748 0.029105 0.009772 0.002682 0.003768 0.013290 0.000699 0.000666
9.786311 0.075757 0.071352 0.106651 0.029258 0.010601 0.002842 0.003684 0.013043 0.000668 0.000631
9.803005 0.074807 0.070734 0.106510 0.029394 0.011417 0.002999 0.003596 0.012781 0.000635 0.000596
9.819699 0.073826 0.070084 0.106328 0.029511 0.012220 0.003153 0.003504 0.012505 0.000602 0.000561
9.836394 0.072816 0.069403 0.106104 0.029610 0.013009 0.003304 0.003408 0.012216 0.000568 0.000524
9.853088 0.071777 0.068690 0.105838 0.029692 0.013784 0.003452 0.003309 0.011913 0.000534 0.000487
9.869783 0.070708 0.067946 0.105531 0.029755 0.014544 0.003597 0.003205 0.011598 0.000499 0.000450
9.886477 0.069610 0.067172 0.105184 0.029800 0.015290 0.003739 0.003099 0.011270 0.000463 0.000412
9.903172 0.068484 0.066367 0.104796 0.029827 0.016020 0.003877 0.002989 0.010931 0.000427 0.000373
9.919866 0.067329 0.065532 0.104368 0.029836 0.016735 0.004012 0.002876 0.010581 0.000390 0.000335
9.936561 0.066146 0.064668 0.103900 0.029827 0.017434 0.004143 0.002760 0.010221 0.000353 0.000295
9.953255 0.064936 0.063774 0.103393 0.029800 0.018116 0.004271 0.002641 0.009851 0.000315 0.000256
9.969950 0.063699 0.062851 0.102847 0.029755 0.018782 0.004394 0.002520 0.009471 0.000278 0.000216
9.986644 0.062434 0.061900 0.102263 0.029692 0.019431 0.004514 0.002396 0.009083 0.000240 0.000177
10.003339 0.061144 0.060920 0.101642 0.029611 0.020062 0.004630 0.002271 0.008687 0.000202 0.000137
10.020033 0.059827 0.059913 0.100982 0.029512 0.020676 0.004741 0.002143 0.008282 0.000164 0.000097
10.036728 0.058484 0.058879 0.100286 0.029395 0.021273 0.004849 0.002013 0.007871 0.000125 0.000057
10.053422 0.057117 0.057817 0.099552 0.029260 0.021851 0.004952 0.001882 0.007453 0.000087 0.000017
10.070117 0.055724 0.056729 0.098783 0.029108 0.022411 0.005050 0.001749 0.007030 0.000049 0.000022
10.086811 0.054307 0.055614 0.097978 0.028938 0.022953 0.005145 0.001615 0.006600 0.000011 0.000062
10.103506 0.052865 0.054474 0.097138 0.028751 0.023476 0.005234 0.001479 0.006166 0.000027 0.000101
10.120200 0.051401 0.053308 0.096263 0.028546 0.023981 0.005319 0.001343 0.005727 0.000065 0.000140
10.136895 0.049912 0.052117 0.095354 0.028324 0.024466 0.005400 0.001206 0.005285 0.000103 0.000179
10.153589 0.048402 0.050902 0.094411 0.028085 0.024933 0.005476 0.001068 0.004839 0.000140 0.000217
10.170284 0.046868 0.049663 0.093435 0.027829 0.025380 0.005547 0.000930 0.004391 0.000177 0.000255
10.186978 0.045313 0.048400 0.092426 0.027556 0.025807 0.005613 0.000791 0.003940 0.000214 0.000292
10.203673 0.043737 0.047114 0.091385 0.027266 0.026216 0.005674 0.000652 0.003487 0.000250 0.000329
10.220367 0.042139 0.045805 0.090312 0.026960 0.026604 0.005731 0.000513 0.003033 0.000286 0.000365
10.237062 0.040521 0.044474 0.089208 0.026638 0.026973 0.005782 0.000374 0.002578 0.000321 0.000401
10.253756 0.038883 0.043122 0.088073 0.026299 0.027322 0.005829 0.000236 0.002123 0.000355 0.000436
10.270451 0.037226 0.041748 0.086908 0.025944 0.027652 0.005870 0.000097 0.001668 0.000390 0.000470
10.287145 0.035549 0.040353 0.085714 0.025574 0.027961 0.005907 0.000040 0.001214 0.000423 0.000504
10.303840 0.033854 0.038938 0.084490 0.025188 0.028251 0.005938 0.000177 0.000761 0.000456 0.000537
10.320534 0.032140 0.037503 0.083238 0.024786 0.028521 0.005964 0.000313 0.000310 0.000488 0.000569
10.337229 0.030410 0.036049 0.081958 0.024369 0.028770 0.005986 0.000448 0.000140 0.000519 0.000600
10.353923 0.028662 0.034576 0.080650 0.023938 0.029000 0.006002 0.000582 0.000586 0.000550 0.000630
10.370618 0.026897 0.033084 0.079316 0.023491 0.029210 0.006013 0.000715 0.001030 0.000580 0.000660
10.387312 0.025116 0.031575 0.077955 0.023030 0.029400 0.006019 0.000846 0.001471 0.000609 0.000688
10.404007 0.023320 0.030049 0.076569 0.022555 0.029570 0.006020 0.000975 0.001908 0.000637 0.000716
10.420701 0.021509 0.028506 0.075157 0.022066 0.029720 0.006015 0.001103 0.002340 0.000664 0.000742
10.437396 0.019684 0.026947 0.073721 0.021563 0.029851 0.006006 0.001230 0.002768 0.000690 0.000768
10.454090 0.017844 0.025372 0.072261 0.021046 0.029962 0.005992 0.001354 0.003191 0.000716 0.000792
10.470785 0.015991 0.023781 0.070777 0.020517 0.030053 0.005973 0.001477 0.003609 0.000740 0.000816
10.487479 0.014125 0.022177 0.069271 0.019974 0.030124 0.005948 0.001597 0.004021 0.000764 0.000838
10.504174 0.012247 0.020558 0.067743 0.019419 0.030176 0.005919 0.001715 0.004427 0.000786 0.000860
10.520868 0.010357 0.018926 0.066193 0.018851 0.030209 0.005884 0.001831 0.004827 0.000807 0.000880
10.537563 0.008456 0.017280 0.064622 0.018271 0.030222 0.005845 0.001944 0.005219 0.000828 0.000899
10.554257 0.006544 0.015622 0.063030 0.017679 0.030217 0.005801 0.002055 0.005605 0.000847 0.000917
10.570952 0.004622 0.013953 0.061419 0.017076 0.030192 0.005752 0.002163 0.005983 0.000865 0.000934
10.587646 0.002690 0.012272 0.059789 0.016461 0.030149 0.005698 0.002269 0.006353 0.000882 0.000949
10.604341 0.000749 0.010580 0.058140 0.015836 0.030086 0.005640 0.002371 0.006716 0.000898 0.000964
10.621035 0.001200 0.008878 0.056473 0.015200 0.030006 0.005576 0.002471 0.007070 0.000913 0.000977
10.637730 0.003157 0.007167 0.054789 0.014554 0.029907 0.005508 0.002568 0.007416 0.000927 0.000989
10.654424 0.005121 0.005446 0.053088 0.013898 0.029790 0.005436 0.002662 0.007752 0.000939 0.000999
10.671119 0.007092 0.003717 0.051372 0.013232 0.029654 0.005359 0.002753 0.008080 0.000951 0.001009
10.687813 0.009070 0.001980 0.049639 0.012556 0.029501 0.005277 0.002840 0.008398 0.000961 0.001017
10.704508 0.011053 0.000236 0.047892 0.011872 0.029331 0.005192 0.002925 0.008707 0.000970 0.001024
10.721202 0.013041 0.001515 0.046131 0.011180 0.029143 0.005101 0.003006 0.009006 0.000978 0.001030
10.737896 0.015033 0.003272 0.044356 0.010478 0.028938 0.005007 0.003084 0.009295 0.000985 0.001035
10.754591 0.017029 0.005035 0.042568 0.009769 0.028716 0.004908 0.003158 0.009574 0.000990 0.001038
10.771285 0.019029 0.006803 0.040768 0.009053 0.028477 0.004805 0.003229 0.009843 0.000995 0.001040
10.787980 0.021031 0.008575 0.038957 0.008329 0.028222 0.004699 0.003297 0.010101 0.000998 0.001041
10.804674 0.023036 0.010351 0.037134 0.007598 0.027951 0.004588 0.003361 0.010348 0.001000 0.001041
10.821369 0.025042 0.012131 0.035301 0.006861 0.027663 0.004474 0.003421 0.010585 0.001001 0.001039
10.838063 0.027049 0.013913 0.033458 0.006117 0.027360 0.004355 0.003478 0.010810 0.001000 0.001036
10.854758 0.029056 0.015697 0.031606 0.005368 0.027042 0.004233 0.003531 0.011024 0.000999 0.001032
10.871452 0.031063 0.017483 0.029745 0.004613 0.026708 0.004108 0.003581 0.011228 0.000996 0.001027
10.888147 0.033070 0.019270 0.027877 0.003853 0.026360 0.003979 0.003627 0.011419 0.000993 0.001021
10.904841 0.035075 0.021057 0.026002 0.003089 0.025997 0.003847 0.003669 0.011600 0.000988 0.001013
10.921536 0.037078 0.022844 0.024119 0.002320 0.025620 0.003711 0.003707 0.011769 0.000982 0.001005
10.938230 0.039079 0.024631 0.022231 0.001547 0.025229 0.003572 0.003742 0.011926 0.000975 0.000995
10.954925 0.041076 0.026416 0.020338 0.000770 0.024824 0.003430 0.003773 0.012072 0.000966 0.000984
10.971619 0.043070 0.028198 0.018440 0.000009 0.024405 0.003286 0.003800 0.012206 0.000957 0.000972
10.988314 0.045060 0.029979 0.016538 0.000792 0.023974 0.003138 0.003824 0.012328 0.000947 0.000959
11.005008 0.047045 0.031756 0.014633 0.001577 0.023530 0.002988 0.003844 0.012438 0.000935 0.000945
11.021703 0.049025 0.033530 0.012724 0.002364 0.023073 0.002835 0.003860 0.012537 0.000923 0.000929
11.038397 0.050998 0.035299 0.010814 0.003154 0.022604 0.002679 0.003872 0.012624 0.000909 0.000913
11.055092 0.052965 0.037064 0.008902 0.003944 0.022124 0.002522 0.003881 0.012699 0.000895 0.000896
11.071786 0.054925 0.038823 0.006989 0.004735 0.021632 0.002361 0.003886 0.012762 0.000880 0.000878
11.088481 0.056877 0.040577 0.005076 0.005527 0.021129 0.002199 0.003887 0.012813 0.000863 0.000858
11.105175 0.058821 0.042324 0.003163 0.006319 0.020615 0.002035 0.003884 0.012853 0.000846 0.000838
11.121870 0.060756 0.044063 0.001251 0.007111 0.020090 0.001869 0.003878 0.012881 0.000828 0.000817
11.138564 0.062682 0.045795 0.000659 0.007903 0.019556 0.001701 0.003869 0.012897 0.000808 0.000795
11.155259 0.064598 0.047519 0.002567 0.008694 0.019012 0.001531 0.003856 0.012902 0.000788 0.000772
11.171953 0.066503 0.049234 0.004472 0.009483 0.018458 0.001360 0.003839 0.012895 0.000768 0.000749
11.188648 0.068397 0.050940 0.006374 0.010271 0.017895 0.001188 0.003818 0.012876 0.000746 0.000724
11.205342 0.070280 0.052636 0.008272 0.011056 0.017324 0.001014 0.003795 0.012847 0.000724 0.000699
11.222037 0.072151 0.054322 0.010166 0.011839 0.016744 0.000839 0.003767 0.012805 0.000700 0.000673
11.238731 0.074009 0.055996 0.012054 0.012620 0.016157 0.000663 0.003737 0.012753 0.000676 0.000647
11.255426 0.075853 0.057659 0.013936 0.013397 0.015561 0.000486 0.003703 0.012690 0.000652 0.000619
11.272120 0.077684 0.059311 0.015812 0.014171 0.014959 0.000308 0.003666 0.012615 0.000626 0.000591
11.288815 0.079501 0.060949 0.017681 0.014941 0.014349 0.000130 0.003625 0.012530 0.000600 0.000563
11.305509 0.081303 0.062575 0.019542 0.015707 0.013733 0.000049 0.003582 0.012434 0.000574 0.000534
11.322204 0.083089 0.064186 0.021395 0.016468 0.013111 0.000228 0.003535 0.012328 0.000547 0.000504
11.338898 0.084860 0.065784 0.023240 0.017224 0.012483 0.000407 0.003485 0.012211 0.000519 0.000474
11.355593 0.086614 0.067367 0.025075 0.017975 0.011850 0.000587 0.003432 0.012084 0.000491 0.000443
11.372287 0.088352 0.068935 0.026901 0.018720 0.011211 0.000766 0.003376 0.011946 0.000462 0.000412
11.388982 0.090072 0.070487 0.028716 0.019459 0.010568 0.000946 0.003317 0.011799 0.000433 0.000380
11.405676 0.091774 0.072023 0.030520 0.020192 0.009921 0.001125 0.003256 0.011642 0.000403 0.000348
11.422371 0.093457 0.073543 0.032312 0.020918 0.009269 0.001303 0.003191 0.011475 0.000373 0.000316
11.439065 0.095122 0.075045 0.034093 0.021637 0.008614 0.001482 0.003124 0.011299 0.000343 0.000283
11.455760 0.096768 0.076530 0.035861 0.022348 0.007956 0.001659 0.003055 0.011114 0.000312 0.000250
11.472454 0.098393 0.077996 0.037615 0.023052 0.007295 0.001836 0.002983 0.010920 0.000281 0.000217
11.489149 0.099999 0.079444 0.039356 0.023748 0.006631 0.002012 0.002908 0.010717 0.000250 0.000184
11.505843 0.101583 0.080873 0.041083 0.024435 0.005966 0.002187 0.002831 0.010505 0.000218 0.000150
11.522538 0.103146 0.082282 0.042796 0.025114 0.005298 0.002360 0.002752 0.010285 0.000187 0.000117
11.539232 0.104688 0.083672 0.044493 0.025783 0.004629 0.002533 0.002670 0.010057 0.000155 0.000083
11.555927 0.106207 0.085041 0.046174 0.026443 0.003959 0.002704 0.002586 0.009821 0.000123 0.000049
11.572621 0.107704 0.086389 0.047839 0.027093 0.003289 0.002873 0.002500 0.009577 0.000091 0.000015
11.589316 0.109178 0.087715 0.049487 0.027734 0.002618 0.003041 0.002413 0.009326 0.000059 0.000018
11.606010 0.110628 0.089020 0.051119 0.028364 0.001947 0.003207 0.002323 0.009068 0.000027 0.000052
11.622705 0.112054 0.090303 0.052732 0.028983 0.001276 0.003371 0.002232 0.008802 0.000006 0.000086
11.639399 0.113456 0.091563 0.054327 0.029591 0.000607 0.003533 0.002138 0.008530 0.000038 0.000119
11.656093 0.114833 0.092800 0.055904 0.030188 0.000062 0.003693 0.002044 0.008252 0.000070 0.000153
11.672788 0.116185 0.094014 0.057462 0.030774 0.000729 0.003851 0.001947 0.007967 0.000102 0.000186
11.689482 0.117512 0.095204 0.059000 0.031348 0.001395 0.004007 0.001849 0.007676 0.000133 0.000219
11.706177 0.118812 0.096370 0.060518 0.031910 0.002058 0.004160 0.001750 0.007380 0.000165 0.000252
11.722871 0.120087 0.097511 0.062016 0.032459 0.002719 0.004310 0.001650 0.007078 0.000197 0.000284
11.739566 0.121334 0.098627 0.063493 0.032996 0.003377 0.004458 0.001548 0.006771 0.000228 0.000317
11.756260 0.122555 0.099718 0.064949 0.033520 0.004031 0.004603 0.001445 0.006459 0.000259 0.000349
11.772955 0.123748 0.100783 0.066382 0.034031 0.004683 0.004745 0.001341 0.006143 0.000289 0.000380
11.789649 0.124913 0.101822 0.067794 0.034528 0.005330 0.004884 0.001237 0.005822 0.000320 0.000411
11.806344 0.126050 0.102834 0.069184 0.035012 0.005973 0.005020 0.001131 0.005497 0.000350 0.000442
11.823038 0.127159 0.103820 0.070550 0.035482 0.006612 0.005153 0.001025 0.005168 0.000379 0.000472
11.839733 0.128239 0.104779 0.071893 0.035938 0.007247 0.005282 0.000918 0.004836 0.000408 0.000501
11.856427 0.129289 0.105710 0.073213 0.036379 0.007876 0.005408 0.000810 0.004501 0.000437 0.000531
11.873122 0.130311 0.106614 0.074508 0.036806 0.008499 0.005531 0.000702 0.004162 0.000465 0.000559
11.889816 0.131302 0.107490 0.075780 0.037218 0.009117 0.005650 0.000594 0.003821 0.000493 0.000587
11.906511 0.132264 0.108337 0.077026 0.037615 0.009729 0.005766 0.000486 0.003478 0.000520 0.000614
11.923205 0.133195 0.109156 0.078247 0.037997 0.010335 0.005877 0.000377 0.003132 0.000547 0.000641
11.939900 0.134095 0.109946 0.079443 0.038363 0.010934 0.005985 0.000268 0.002785 0.000573 0.000667
11.956594 0.134965 0.110706 0.080614 0.038714 0.011526 0.006089 0.000159 0.002436 0.000598 0.000693
11.973289 0.135803 0.111438 0.081758 0.039049 0.012111 0.006189 0.000051 0.002086 0.000623 0.000717
11.989983 0.136610 0.112139 0.082876 0.039368 0.012688 0.006285 0.000058 0.001735 0.000647 0.000741
12.006678 0.137386 0.112811 0.083967 0.039671 0.013258 0.006377 0.000166 0.001383 0.000671 0.000764
12.023372 0.138129 0.113452 0.085031 0.039958 0.013820 0.006465 0.000274 0.001031 0.000694 0.000786
12.040067 0.138841 0.114063 0.086068 0.040228 0.014374 0.006548 0.000381 0.000679 0.000716 0.000808
12.056761 0.139520 0.114644 0.087077 0.040482 0.014919 0.006628 0.000488 0.000327 0.000737 0.000829
12.073456 0.140166 0.115193 0.088059 0.040719 0.015455 0.006702 0.000594 0.000025 0.000757 0.000848
12.090150 0.140780 0.115712 0.089012 0.040939 0.015982 0.006773 0.000700 0.000376 0.000777 0.000867
12.106845 0.141361 0.116199 0.089938 0.041142 0.016500 0.006839 0.000804 0.000726 0.000796 0.000885
12.123539 0.141908 0.116655 0.090834 0.041328 0.017009 0.006900 0.000908 0.001075 0.000814 0.000903
12.140234 0.142423 0.117080 0.091702 0.041497 0.017507 0.006957 0.001011 0.001422 0.000832 0.000919
12.156928 0.142903 0.117472 0.092541 0.041648 0.017996 0.007009 0.001113 0.001768 0.000848 0.000934
12.173623 0.143350 0.117833 0.093351 0.041782 0.018475 0.007056 0.001213 0.002111 0.000864 0.000949
12.190317 0.143764 0.118162 0.094132 0.041898 0.018943 0.007099 0.001313 0.002452 0.000878 0.000962
